resultID,raceID,driverID,constructorID,qualifyID,FinalPosition,RacePoints,FastestLap,TotalLaps
146,24,8,6,131,0,0,01:17.4,19
147,24,1,1,129,0,0,01:17.5,19
148,24,16,10,145,0,0,01:20.7,13
149,25,13,6,150,1,10,01:16.7,70
150,25,8,6,149,2,8,01:16.6,70
151,25,15,7,153,3,6,01:17.6,70
152,25,5,1,154,4,5,01:17.1,70
153,25,9,2,155,5,4,01:17.2,70
154,25,17,9,156,6,3,01:17.5,70
155,25,12,4,159,7,2,01:17.8,70
156,25,4,4,152,8,1,01:17.6,70
157,25,14,9,157,9,0,01:17.8,70
158,25,1,1,151,10,0,01:17.5,70
159,25,10,7,158,11,0,01:17.8,70
160,25,20,5,161,12,0,01:17.8,70
161,25,2,2,160,13,0,01:17.7,70
162,25,22,11,166,14,0,01:18.0,69
163,25,6,3,164,15,0,01:18.1,69
164,25,3,3,163,16,0,01:18.3,69
165,25,7,5,162,17,0,01:18.2,69
166,25,21,10,167,18,0,01:18.6,69
167,25,16,10,168,19,0,01:18.5,69
168,25,18,11,165,0,0,01:20.9,16
169,26,1,1,172,1,10,01:32.8,60
170,26,2,2,173,2,8,01:32.7,60
171,26,22,11,184,3,6,01:33.4,60
172,26,8,6,171,4,5,01:32.2,59
173,26,5,1,169,5,4,01:33.1,59
174,26,4,4,174,6,3,01:33.1,59
175,26,15,7,182,7,2,01:33.8,59
176,26,6,3,183,8,1,01:34.3,59
177,26,3,3,186,9,0,01:34.8,59
178,26,17,9,170,10,0,01:33.0,59
179,26,7,5,181,11,0,01:33.4,59
180,26,10,7,180,12,0,01:34.6,59
181,26,13,6,177,13,0,01:33.3,58
182,26,9,2,178,0,0,01:33.5,39
183,26,18,11,185,0,0,01:33.4,38
184,26,12,4,175,0,0,01:33.2,35
185,26,21,10,188,0,0,01:34.9,16
186,26,16,10,187,0,0,01:38.2,10
187,26,20,5,176,0,0,0,0
188,26,14,9,179,0,0,0,0
189,27,1,1,189,1,10,01:16.0,67
190,27,12,4,205,2,8,01:16.9,67
191,27,13,6,190,3,6,01:16.5,67
192,27,2,2,200,4,5,01:16.0,67
193,27,5,1,191,5,4,01:16.5,67
194,27,8,6,194,6,3,01:16.3,67
195,27,9,2,195,7,2,01:16.6,67
196,27,20,5,197,8,1,01:16.8,67
197,27,15,7,192,9,0,01:17.0,67
198,27,3,3,201,10,0,01:17.4,67
199,27,4,4,193,11,0,01:17.1,67
200,27,7,5,203,12,0,01:17.0,67
201,27,14,9,198,13,0,01:17.0,67
202,27,6,3,204,14,0,01:17.7,67
203,27,16,10,207,15,0,01:17.9,67
204,27,21,10,208,16,0,01:18.2,67
205,27,18,11,202,17,0,01:17.6,66
206,27,22,11,206,0,0,01:18.0,50
207,27,17,9,196,0,0,01:17.2,40
208,27,10,7,199,0,0,01:16.7,35
209,28,5,1,210,1,10,01:21.8,70
210,28,10,7,213,2,8,01:21.7,70
211,28,8,6,214,3,6,01:21.2,70
212,28,4,4,215,4,5,01:21.8,70
213,28,1,1,209,5,4,01:21.5,70
214,28,12,4,218,6,3,01:21.5,70
215,28,15,7,217,7,2,01:21.6,70
216,28,9,2,212,8,1,01:21.9,70
217,28,17,9,216,9,0,01:22.1,70
218,28,2,2,224,10,0,01:22.2,70
219,28,14,9,221,11,0,01:22.7,70
220,28,18,11,220,12,0,01:22.4,69
221,28,6,3,225,13,0,01:23.3,69
222,28,3,3,223,14,0,01:22.4,69
223,28,21,10,227,15,0,01:22.6,69
224,28,22,11,226,16,0,01:22.4,68
225,28,13,6,211,17,0,01:21.4,67
226,28,7,5,222,18,0,01:23.2,67
227,28,16,10,228,0,0,01:23.7,62
228,28,20,5,219,0,0,01:24.2,22
229,29,13,6,229,1,10,01:38.7,57
230,29,1,1,230,2,8,01:38.9,57
231,29,9,2,231,3,6,01:39.3,57
232,29,5,1,233,4,5,01:39.1,57
233,29,15,7,235,5,4,01:39.7,57
234,29,20,5,234,6,3,01:39.5,57
235,29,10,7,241,7,2,01:39.5,57
236,29,3,3,237,8,1,01:39.6,57
237,29,2,2,236,9,0,01:39.5,57
238,29,7,5,238,10,0,01:39.6,57
239,29,12,4,243,11,0,01:39.5,57
240,29,17,9,242,12,0,01:40.3,56
241,29,18,11,244,13,0,01:40.8,56
242,29,21,10,246,14,0,01:40.4,56
243,29,6,3,239,15,0,01:39.8,56
244,29,22,11,247,16,0,01:40.6,56
245,29,14,9,245,17,0,01:41.0,56
246,29,8,6,232,0,0,01:39.4,45
247,29,16,10,248,0,0,01:40.7,41
248,29,4,4,240,0,0,0,0
249,30,13,6,250,1,10,01:48.2,44
250,30,2,2,253,2,8,01:49.1,44
251,30,1,1,249,3,6,01:48.1,44
252,30,4,4,254,4,5,01:49.2,44
253,30,20,5,258,5,4,01:49.1,44
254,30,9,2,256,6,3,01:49.0,44
255,30,7,5,257,7,2,01:49.0,44
256,30,17,9,255,8,1,01:49.5,44
257,30,10,7,261,9,0,01:50.3,44
258,30,5,1,251,10,0,01:48.2,43
259,30,14,9,262,11,0,01:50.2,43
260,30,3,3,263,12,0,01:50.7,43
261,30,16,10,266,13,0,01:50.5,43
